dong_info,count,gu_info,area_cal,num_per_area
삼성1동,261,강남구,2.821428571428572,92.50632911392402
일원1동,95,강남구,2.821428571428572,33.67088607594936
청담동,258,강남구,2.821428571428572,91.44303797468352
수서동,213,강남구,2.821428571428572,75.49367088607593
도곡1동,8,강남구,2.821428571428572,2.835443037974683
압구정동,441,강남구,2.821428571428572,156.3037974683544
세곡동,60,강남구,2.821428571428572,21.265822784810123
대치2동,65,강남구,2.821428571428572,23.0379746835443
개포3동,123,강남구,2.821428571428572,43.59493670886075
신사동,770,강남구,2.821428571428572,272.9113924050632
천호2동,284,강동구,2.732222222222222,103.94469296461976
암사2동,299,강동구,2.732222222222222,109.43472956486377
고덕1동,47,강동구,2.732222222222222,17.202114680764538
암사3동,152,강동구,2.732222222222222,55.63237088247255
강일동,23,강동구,2.732222222222222,8.418056120374136
고덕2동,65,강동구,2.732222222222222,23.790158601057342
방화3동,78,강서구,3.1884615384615387,24.463208685162844
방화2동,460,강서구,3.1884615384615387,144.27020506634497
화곡1동,3,강서구,3.1884615384615387,0.9408926417370325
염창동,132,강서구,3.1884615384615387,41.39927623642943
가양3동,162,강서구,3.1884615384615387,50.80820265379975
가양2동,178,강서구,3.1884615384615387,55.82629674306393
가양1동,186,강서구,3.1884615384615387,58.33534378769602
화곡8동,4,강서구,3.1884615384615387,1.2545235223160434
공항동,6,강서구,3.1884615384615387,1.881785283474065
남현동,9,관악구,9.856666666666667,0.9130875887724044
조원동,54,관악구,9.856666666666667,5.478525532634427
신림동,3,관악구,9.856666666666667,0.30436252959080146
자양4동,219,광진구,2.437142857142857,89.85932004689333
중곡3동,18,광진구,2.437142857142857,7.385697538100821
자양3동,118,광진구,2.437142857142857,48.41735052754983
자양2동,294,광진구,2.437142857142857,120.63305978898009
중곡1동,70,광진구,2.437142857142857,28.722157092614307
광장동,382,광진구,2.437142857142857,156.7409144196952
군자동,4,광진구,2.437142857142857,1.6412661195779603
구의3동,190,광진구,2.437142857142857,77.96014067995311
구의2동,11,광진구,2.437142857142857,4.5134818288393905
오류1동,6,구로구,2.012,2.982107355864811
개봉1동,34,구로구,2.012,16.898608349900595
개봉2동,21,구로구,2.012,10.43737574552684
고척1동,9,구로구,2.012,4.473161033797217
수궁동,25,구로구,2.012,12.42544731610338
오류2동,35,구로구,2.012,17.395626242544733
구로2동,69,구로구,2.012,34.29423459244533
구로3동,19,구로구,2.012,9.443339960238568
구로5동,9,구로구,2.012,4.473161033797217
신도림동,22,구로구,2.012,10.934393638170974
구로1동,66,구로구,2.012,32.80318091451292
가산동,35,금천구,4.34,8.064516129032258
상계8동,31,노원구,7.087999999999999,4.373589164785553
상계6.7동,102,노원구,7.087999999999999,14.390519187358919
월계1동,18,노원구,7.087999999999999,2.539503386004515
상계10동,42,노원구,7.087999999999999,5.925507900677202
월계3동,192,노원구,7.087999999999999,27.088036117381492
공릉2동,19,노원구,7.087999999999999,2.6805869074492104
하계2동,54,노원구,7.087999999999999,7.618510158013545
하계1동,4,노원구,7.087999999999999,0.5643340857787811
상계1동,83,노원구,7.087999999999999,11.709932279909708
공릉1동,88,노원구,7.087999999999999,12.415349887133184
월계2동,9,노원구,7.087999999999999,1.2697516930022574
창5동,12,도봉구,5.1625,2.3244552058111383
창4동,23,도봉구,5.1625,4.455205811138015
창1동,10,도봉구,5.1625,1.9370460048426152
방학1동,20,도봉구,5.1625,3.8740920096852305
청량리동,7,동대문구,1.4220000000000002,4.922644163150491
휘경2동,115,동대문구,1.4220000000000002,80.87201125175808
제기동,50,동대문구,1.4220000000000002,35.16174402250351
전농1동,5,동대문구,1.4220000000000002,3.516174402250351
장안2동,9,동대문구,1.4220000000000002,6.329113924050632
장안1동,79,동대문구,1.4220000000000002,55.55555555555555
이문2동,75,동대문구,1.4220000000000002,52.74261603375527
이문1동,19,동대문구,1.4220000000000002,13.361462728551334
답십리1동,16,동대문구,1.4220000000000002,11.251758087201123
휘경1동,56,동대문구,1.4220000000000002,39.38115330520393
신대방1동,80,동작구,1.8177777777777773,44.009779951100256
신대방2동,13,동작구,1.8177777777777773,7.151589242053792
흑석동,76,동작구,1.8177777777777773,41.80929095354524
사당2동,210,동작구,1.8177777777777773,115.52567237163818
사당1동,11,동작구,1.8177777777777773,6.051344743276285
대방동,76,동작구,1.8177777777777773,41.80929095354524
노량진2동,42,동작구,1.8177777777777773,23.105134474327635
노량진1동,147,동작구,1.8177777777777773,80.86797066014672
망원1동,137,마포구,0.9173076923076924,149.35010482180292
용강동,163,마포구,0.9173076923076924,177.69392033542977
도화동,59,마포구,0.9173076923076924,64.31865828092242
연남동,4,마포구,0.9173076923076924,4.360587002096436
신수동,100,마포구,0.9173076923076924,109.0146750524109
합정동,248,마포구,0.9173076923076924,270.35639412997904
망원2동,117,마포구,0.9173076923076924,127.54716981132074
성산1동,56,마포구,0.9173076923076924,61.0482180293501
상암동,777,마포구,0.9173076923076924,847.0440251572327
서강동,149,마포구,0.9173076923076924,162.43186582809224
성산2동,76,마포구,0.9173076923076924,82.85115303983228
남가좌1동,27,서대문구,0.8815,30.629608621667614
남가좌2동,12,서대문구,0.8815,13.613159387407828
천연동,17,서대문구,0.8815,19.28530913216109
신촌동,19,서대문구,0.8815,21.554169030062393
홍제3동,84,서대문구,0.8815,95.2921157118548
홍제1동,40,서대문구,0.8815,45.377197958026095
북가좌1동,8,서대문구,0.8815,9.07543959160522
홍은1동,31,서대문구,0.8815,35.16732841747022
홍은2동,57,서대문구,0.8815,64.66250709018719
연희동,81,서대문구,0.8815,91.88882586500284
