dong_info,count,gu_info,num_per_area
압구정동,42,강남구,14.886075949367084
논현2동,67,강남구,23.74683544303797
수서동,12,강남구,4.253164556962024
개포4동,22,강남구,7.797468354430378
개포3동,8,강남구,2.835443037974683
개포2동,12,강남구,4.253164556962024
개포1동,1,강남구,0.3544303797468354
일원1동,15,강남구,5.316455696202531
도곡1동,26,강남구,9.21518987341772
청담동,59,강남구,20.911392405063285
삼성2동,51,강남구,18.075949367088604
역삼2동,56,강남구,19.84810126582278
신사동,148,강남구,52.455696202531634
역삼1동,162,강남구,57.41772151898733
도곡2동,17,강남구,6.025316455696201
대치1동,16,강남구,5.670886075949366
대치2동,52,강남구,18.43037974683544
일원본동,13,강남구,4.60759493670886
세곡동,19,강남구,6.734177215189872
대치4동,55,강남구,19.493670886075947
삼성1동,48,강남구,17.012658227848096
논현1동,68,강남구,24.101265822784804
상일2동,6,강동구,2.1960146400976006
천호2동,49,강동구,17.934119560797072
천호3동,26,강동구,9.516063440422936
명일1동,14,강동구,5.124034160227735
길동,46,강동구,16.83611224074827
상일1동,17,강동구,6.222041480276536
명일2동,15,강동구,5.490036600244002
고덕2동,17,강동구,6.222041480276536
천호1동,21,강동구,7.686051240341603
암사2동,9,강동구,3.294021960146401
암사3동,5,강동구,1.830012200081334
둔촌2동,26,강동구,9.516063440422936
고덕1동,9,강동구,3.294021960146401
성내1동,18,강동구,6.588043920292802
성내2동,20,강동구,7.320048800325336
강일동,14,강동구,5.124034160227735
성내3동,26,강동구,9.516063440422936
암사1동,28,강동구,10.24806832045547
둔촌1동,5,강동구,1.830012200081334
번3동,10,강북구,1.694915254237288
번2동,9,강북구,1.5254237288135593
번1동,30,강북구,5.084745762711864
미아동,30,강북구,5.084745762711864
송중동,24,강북구,4.067796610169491
삼각산동,10,강북구,1.694915254237288
송천동,24,강북구,4.067796610169491
삼양동,14,강북구,2.3728813559322033
수유3동,38,강북구,6.440677966101695
우이동,25,강북구,4.23728813559322
수유1동,26,강북구,4.406779661016949
인수동,29,강북구,4.915254237288135
수유2동,21,강북구,3.559322033898305
방화3동,13,강서구,4.077201447527141
방화2동,27,강서구,8.468033775633293
발산1동,37,강서구,11.604342581423401
화곡본동,32,강서구,10.036188178528347
가양3동,7,강서구,2.195416164053076
가양2동,9,강서구,2.8226779252110976
가양1동,69,강서구,21.640530759951748
방화1동,38,강서구,11.917973462002411
화곡8동,17,강서구,5.331724969843184
화곡6동,30,강서구,9.408926417370324
화곡4동,18,강서구,5.645355850422195
염창동,26,강서구,8.154402895054282
공항동,45,강서구,14.113389626055488
등촌3동,27,강서구,8.468033775633293
화곡3동,15,강서구,4.704463208685162
화곡2동,13,강서구,4.077201447527141
등촌2동,15,강서구,4.704463208685162
화곡1동,62,강서구,19.445114595898673
우장산동,22,강서구,6.899879372738238
등촌1동,34,강서구,10.663449939686368
청룡동,37,관악구,3.7538045316198847
미성동,24,관악구,2.4349002367264116
조원동,23,관악구,2.3334460601961444
난향동,5,관악구,0.5072708826513358
청림동,5,관악구,0.5072708826513358
성현동,11,관악구,1.1159959418329388
서원동,30,관악구,3.0436252959080146
서림동,27,관악구,2.7392627663172133
은천동,21,관악구,2.1305377071356104
