dong_info,count,gu_info,num_per_area
압구정동,3,강남구,1.063291139240506
대치1동,1,강남구,0.3544303797468354
대치2동,7,강남구,2.4810126582278476
대치4동,1,강남구,0.3544303797468354
도곡2동,5,강남구,1.772151898734177
일원본동,2,강남구,0.7088607594936708
역삼1동,8,강남구,2.835443037974683
논현2동,5,강남구,1.772151898734177
신사동,4,강남구,1.4177215189873416
논현1동,5,강남구,1.772151898734177
개포2동,3,강남구,1.063291139240506
삼성1동,2,강남구,0.7088607594936708
삼성2동,2,강남구,0.7088607594936708
수서동,4,강남구,1.4177215189873416
개포3동,2,강남구,0.7088607594936708
암사2동,1,강동구,0.3660024400162668
암사3동,1,강동구,0.3660024400162668
명일2동,1,강동구,0.3660024400162668
성내1동,1,강동구,0.3660024400162668
둔촌2동,1,강동구,0.3660024400162668
둔촌1동,1,강동구,0.3660024400162668
상일1동,1,강동구,0.3660024400162668
상일2동,1,강동구,0.3660024400162668
성내3동,1,강동구,0.3660024400162668
명일1동,1,강동구,0.3660024400162668
성내2동,2,강동구,0.7320048800325336
천호1동,1,강동구,0.3660024400162668
길동,1,강동구,0.3660024400162668
삼양동,3,강북구,0.5084745762711864
우이동,3,강북구,0.5084745762711864
미아동,2,강북구,0.3389830508474576
수유1동,1,강북구,0.1694915254237288
수유2동,1,강북구,0.1694915254237288
송중동,2,강북구,0.3389830508474576
번1동,2,강북구,0.3389830508474576
방화2동,4,강서구,1.2545235223160434
등촌1동,1,강서구,0.31363088057901084
공항동,6,강서구,1.881785283474065
가양1동,2,강서구,0.6272617611580217
방화3동,1,강서구,0.31363088057901084
등촌3동,1,강서구,0.31363088057901084
방화1동,2,강서구,0.6272617611580217
화곡1동,2,강서구,0.6272617611580217
발산1동,2,강서구,0.6272617611580217
대학동,1,관악구,0.10145417653026716
청룡동,2,관악구,0.2029083530605343
인헌동,2,관악구,0.2029083530605343
신림동,1,관악구,0.10145417653026716
중앙동,9,관악구,0.9130875887724044
보라매동,1,관악구,0.10145417653026716
서림동,1,관악구,0.10145417653026716
남현동,2,관악구,0.2029083530605343
서원동,3,관악구,0.30436252959080146
구의3동,2,광진구,0.8206330597889802
중곡3동,1,광진구,0.4103165298944901
화양동,2,광진구,0.8206330597889802
자양4동,1,광진구,0.4103165298944901
자양3동,1,광진구,0.4103165298944901
구의2동,1,광진구,0.4103165298944901
자양2동,2,광진구,0.8206330597889802
광장동,1,광진구,0.4103165298944901
능동,3,광진구,1.2309495896834703
오류2동,2,구로구,0.9940357852882704
신도림동,4,구로구,1.9880715705765408
개봉1동,1,구로구,0.4970178926441352
구로2동,1,구로구,0.4970178926441352
수궁동,2,구로구,0.9940357852882704
구로3동,3,구로구,1.4910536779324055
구로4동,1,구로구,0.4970178926441352
구로5동,2,구로구,0.9940357852882704
가산동,3,금천구,0.6912442396313364
시흥1동,1,금천구,0.2304147465437788
상계3.4동,2,노원구,0.28216704288939054
상계2동,2,노원구,0.28216704288939054
상계6.7동,1,노원구,0.14108352144469527
상계1동,1,노원구,0.14108352144469527
상계5동,2,노원구,0.28216704288939054
상계8동,1,노원구,0.14108352144469527
중계2.3동,1,노원구,0.14108352144469527
공릉1동,3,노원구,0.4232505643340858
공릉2동,1,노원구,0.14108352144469527
월계1동,1,노원구,0.14108352144469527
월계2동,1,노원구,0.14108352144469527
하계2동,1,노원구,0.14108352144469527
방학1동,1,도봉구,0.19370460048426152
창5동,3,도봉구,0.5811138014527846
창1동,3,도봉구,0.5811138014527846
도봉2동,3,도봉구,0.5811138014527846
제기동,1,동대문구,0.7032348804500702
휘경1동,1,동대문구,0.7032348804500702
이문1동,1,동대문구,0.7032348804500702
이문2동,1,동대문구,0.7032348804500702
전농1동,3,동대문구,2.109704641350211
상도2동,1,동작구,0.5501222493887532
상도1동,2,동작구,1.1002444987775064
흑석동,1,동작구,0.5501222493887532
신대방2동,2,동작구,1.1002444987775064
사당4동,1,동작구,0.5501222493887532
사당2동,5,동작구,2.750611246943766
사당1동,3,동작구,1.6503667481662596
노량진1동,3,동작구,1.6503667481662596
대방동,2,동작구,1.1002444987775064
성산2동,2,마포구,2.180293501048218
대흥동,4,마포구,4.360587002096436
도화동,4,마포구,4.360587002096436
서교동,5,마포구,5.450733752620545
서강동,2,마포구,2.180293501048218
망원1동,1,마포구,1.090146750524109
상암동,2,마포구,2.180293501048218
공덕동,1,마포구,1.090146750524109
아현동,4,마포구,4.360587002096436
합정동,3,마포구,3.2704402515723268
홍제1동,4,서대문구,4.53771979580261
충현동,4,서대문구,4.53771979580261
신촌동,3,서대문구,3.403289846851957
천연동,2,서대문구,2.268859897901305
연희동,2,서대문구,2.268859897901305
남가좌1동,1,서대문구,1.1344299489506524
양재2동,2,서초구,0.4258037044922291
잠원동,2,서초구,0.4258037044922291
양재1동,3,서초구,0.6387055567383436
서초2동,2,서초구,0.4258037044922291
반포4동,4,서초구,0.8516074089844582
반포1동,2,서초구,0.4258037044922291
서초3동,5,서초구,1.0645092612305727
서초1동,3,서초구,0.6387055567383436
반포2동,1,서초구,0.21290185224611455
방배1동,1,서초구,0.21290185224611455
반포본동,1,서초구,0.21290185224611455
방배2동,2,서초구,0.4258037044922291
방배3동,2,서초구,0.4258037044922291
옥수동,3,성동구,3.032104637336504
사근동,2,성동구,2.0214030915576693
왕십리2동,2,성동구,2.0214030915576693
마장동,1,성동구,1.0107015457788346
응봉동,1,성동구,1.0107015457788346
용답동,6,성동구,6.064209274673008
금호1가동,1,성동구,1.0107015457788346
행당1동,4,성동구,4.042806183115339
행당2동,1,성동구,1.0107015457788346
성수2가3동,2,성동구,2.0214030915576693
성수1가2동,2,성동구,2.0214030915576693
성수1가1동,1,성동구,1.0107015457788346
금호4가동,2,성동구,2.0214030915576693
월곡2동,2,성북구,3.173311635475997
석관동,3,성북구,4.759967453213996
길음1동,2,성북구,3.173311635475997
정릉1동,1,성북구,1.5866558177379986
정릉4동,1,성북구,1.5866558177379986
삼선동,5,성북구,7.933279088689992
보문동,2,성북구,3.173311635475997
안암동,1,성북구,1.5866558177379986
오륜동,3,송파구,1.1511216056670601
잠실7동,3,송파구,1.1511216056670601
위례동,1,송파구,0.38370720188902
마천1동,1,송파구,0.38370720188902
잠실2동,2,송파구,0.76741440377804
잠실6동,5,송파구,1.9185360094451
문정2동,5,송파구,1.9185360094451
잠실본동,1,송파구,0.38370720188902
풍납1동,1,송파구,0.38370720188902
거여1동,1,송파구,0.38370720188902
가락본동,1,송파구,0.38370720188902
가락2동,3,송파구,1.1511216056670601
석촌동,3,송파구,1.1511216056670601
오금동,2,송파구,0.76741440377804
가락1동,3,송파구,1.1511216056670601
방이1동,1,송파구,0.38370720188902
방이2동,2,송파구,0.76741440377804
목3동,1,양천구,0.1723147616312464
신정3동,2,양천구,0.3446295232624928
신정7동,2,양천구,0.3446295232624928
목1동,2,양천구,0.3446295232624928
신정4동,1,양천구,0.1723147616312464
목2동,2,양천구,0.3446295232624928
신길1동,1,영등포구,1.384928716904277
신길6동,2,영등포구,2.769857433808554
신길7동,3,영등포구,4.154786150712831
당산1동,3,영등포구,4.154786150712831
당산2동,3,영등포구,4.154786150712831
대림2동,1,영등포구,1.384928716904277
영등포본동,1,영등포구,1.384928716904277
영등포동,2,영등포구,2.769857433808554
대림3동,1,영등포구,1.384928716904277
여의동,6,영등포구,8.309572301425662
양평2동,1,영등포구,1.384928716904277
양평1동,1,영등포구,1.384928716904277
문래동,2,영등포구,2.769857433808554
효창동,1,용산구,1.6460905349794237
서빙고동,1,용산구,1.6460905349794237
한남동,2,용산구,3.2921810699588474
한강로동,8,용산구,13.16872427983539
남영동,6,용산구,9.876543209876543
용문동,1,용산구,1.6460905349794237
용산2가동,1,용산구,1.6460905349794237
이촌1동,1,용산구,1.6460905349794237
이태원1동,1,용산구,1.6460905349794237
대조동,5,은평구,1.8512285425782564
수색동,3,은평구,1.1107371255469538
갈현1동,3,은평구,1.1107371255469538
신사1동,1,은평구,0.37024570851565125
녹번동,3,은평구,1.1107371255469538
증산동,1,은평구,0.37024570851565125
신사2동,1,은평구,0.37024570851565125
진관동,2,은평구,0.7404914170313025
불광1동,1,은평구,0.37024570851565125
사직동,2,종로구,7.2772898368883325
종로5.6가동,4,종로구,14.554579673776665
창신1동,3,종로구,10.915934755332499
창신3동,1,종로구,3.6386449184441663
종로1.2.3.4가동,10,종로구,36.38644918444166
혜화동,2,종로구,7.2772898368883325
숭인2동,2,종로구,7.2772898368883325
신당5동,1,중구,7.429718875502007
회현동,8,중구,59.43775100401606
소공동,4,중구,29.71887550200803
신당동,3,중구,22.28915662650602
명동,4,중구,29.71887550200803
약수동,2,중구,14.859437751004014
장충동,2,중구,14.859437751004014
다산동,3,중구,22.28915662650602
을지로동,7,중구,52.00803212851405
광희동,5,중구,37.14859437751004
필동,4,중구,29.71887550200803
면목4동,1,중랑구,0.32432432432432434
면목본동,1,중랑구,0.32432432432432434
상봉1동,2,중랑구,0.6486486486486487
상봉2동,1,중랑구,0.32432432432432434
망우본동,3,중랑구,0.972972972972973
묵2동,1,중랑구,0.32432432432432434
신내2동,1,중랑구,0.32432432432432434
중화2동,2,중랑구,0.6486486486486487
